Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2018-11-11,12:45 (06:45),Chorley,2–2,Doncaster,3239,The Chorley Group Victory Park Stadium,Ross Joyce,Match Report,
First Round,Sun,2018-11-11,14:30 (08:30),Port Vale,1–2,Sunderland,7238,Vale Park,Anthony Backhouse,Match Report,
First Round,Mon,2018-11-12,19:45 (13:45),H&R Borough,1–2,Oldham Athletic,2720,Beveree Stadium,Tom Nield,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),FC Halifax Town,1–0,Morecambe,1218,The Shay Stadium,Martin Coy,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Crawley Town,2–6,Southend United,3120,Checkatrade.com Stadium,Charles Breakspear,Match Report,Required Extra Time
First Round,Tue,2018-11-20,19:45 (13:45),FG Rovers,0–3,Oxford United,1614,The New Lawn,Trevor Kettle,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Oxford City,0–2,Tranmere Rovers,1172,Court Place Farm,Craig Hicks,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Bradford City,(4) 1–1 (1),Aldershot Town,2248,Northern Commercials Stadium,Graham Salisbury,Match Report,Bradford City won replayed match on penalty kicks following extra time
First Round,Tue,2018-11-20,19:45 (13:45),Cheltenham,2–0,Ebbsfleet Utd,1435,Jonny-Rocks Stadium,Chris Sarginson,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Charlton Ath,5–0,Mansfield Town,1910,The Valley,Kevin Johnson,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Billericay,1–3,Chesterfield,2493,AGP Arena,Jacob Miles,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Doncaster,7–0,Chorley,3048,Keepmoat Stadium,Darren Drysdale,Match Report,
First Round,Tue,2018-11-20,19:45 (13:45),Slough,(8) 1–1 (7),Sutton United,1360,Arbour Park,Brett Huxtable,Match Report,Slough won replayed match on penalty kicks following extra time
First Round,Wed,2018-11-21,19:45 (13:45),Bristol Rovers,1–2,Barnet,2740,Memorial Stadium,Lee Swabey,Match Report,
First Round,Wed,2018-11-21,19:45 (13:45),Salford City,1–3,Shrewsbury,2432,The Peninsula Stadium,Seb Stockbridge,Match Report,
First Round,Wed,2018-11-21,19:45 (13:45),Hartlepool Utd,3–4,Gillingham,1873,The Northern Gas and Power Stadium,Scott Oldham,Match Report,Required Extra Time
Second Round,Fri,2018-11-30,19:55 (13:55),Solihull Moors,0–0,Blackpool,3005,Damson Park,Ross Joyce,Match Report,
Second Round,Sat,2018-12-01,12:30 (06:30),FC Halifax Town,1–3,AFC Wimbledon,2044,The Shay Stadium,Ben Toner,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Lincoln City,2–0,Carlisle United,6438,Sincil Bank Stadium,Dean Whitestone,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),P'borough Utd,2–2,Bradford City,3750,ABAX Stadium,Trevor Kettle,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Charlton Ath,0–2,Doncaster,3249,The Valley,Brett Huxtable,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Plymouth Argyle,1–2,Oxford United,5984,Home Park,Peter Wright,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Maidstone Utd,0–2,Oldham Athletic,3560,Gallagher Stadium,Alan Young,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Southend United,2–4,Barnsley,3616,Roots Hall Stadium,Paul Marsden,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Acc'ton Stanley,3–1,Cheltenham,1066,Wham Stadium,Andy Haines,Match Report,
Second Round,Sat,2018-12-01,15:00 (09:00),Walsall,1–1,Sunderland,3140,The Banks's Stadium,Carl Boyeson,Match Report,
Second Round,Sat,2018-12-01,20:00 (14:00),Wrexham,0–0,Newport County,5295,The 3aaa County Ground,Craig Hicks,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Rochdale,0–1,Portsmouth,2555,Crown Oil Arena,Seb Stockbridge,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Slough,0–1,Gillingham,2084,Arbour Park,Chris Sarginson,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Barnet,1–0,Stockport,2826,The Hive Stadium,Scott Oldham,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Chesterfield,0–2,Grimsby Town,4537,Proact Stadium,Michael Salisbury,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Bury,0–1,Luton Town,2977,Gigg Lane,Thomas Bramall,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Swindon Town,0–1,Woking,3654,The Energy Check County Ground,Matt Donohue,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Shrewsbury,1–0,Scunthorpe Utd,3427,Montgomery Waters Meadow,Ben Toner,Match Report,
Second Round,Sun,2018-12-02,14:00 (08:00),Tranmere Rovers,1–1,Southport,4701,Prenton Park,Anthony Backhouse,Match Report,
Second Round,Mon,2018-12-03,20:00 (14:00),Guiseley,1–2,Fleetwood Town,2324,Nethermoor Park,John Busby,Match Report,
Second Round,Tue,2018-12-11,19:45 (13:45),Bradford City,(2) 4–4 (3),P'borough Utd,3486,Northern Commercials Stadium,Ross Joyce,Match Report,P'borough Utd won replayed match on penalty kicks following extra time
Second Round,Tue,2018-12-11,19:45 (13:45),Sunderland,0–1,Walsall,8212,Stadium of Light,Michael Salisbury,Match Report,
Second Round,Tue,2018-12-11,19:45 (13:45),Newport County,4–0,Wrexham,4143,Rodney Parade,Kevin Johnson,Match Report,
Second Round,Mon,2018-12-17,19:45 (13:45),Southport,0–2,Tranmere Rovers,5414,Haig Avenue,Thomas Bramall,Match Report,
Second Round,Tue,2018-12-18,19:45 (13:45),Blackpool,3–2,Solihull Moors,1441,Bloomfield Road,Andy Haines,Match Report,Required Extra Time
Third Round,Fri,2019-01-04,19:45 (13:45),Tranmere Rovers,0–7,Tottenham,12553,Prenton Park,Andre Marriner,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),Burnley,1–0,Barnsley,11053,Turf Moor,Simon Hooper,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),Manchester Utd,2–0,Reading,73918,Old Trafford,Stuart Attwell,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),Sheffield Weds,0–0,Luton Town,16974,Hillsborough Stadium,Robert Jones,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),West Brom,1–0,Wigan Athletic,15465,The Hawthorns,Keith Stroud,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),Shrewsbury,1–1,Stoke City,7512,Montgomery Waters Meadow,David Webb,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),Bournemouth,1–3,Brighton,10522,Vitality Stadium,Michael Oliver,Match Report,
Third Round,Sat,2019-01-05,12:30 (06:30),West Ham,2–0,Birmingham City,54840,London Stadium,Roger East,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Derby County,2–2,Southampton,17095,iPro Stadium,Oliver Langford,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Everton,2–1,Lincoln City,37900,Goodison Park,John Brooks,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Acc'ton Stanley,1–0,Ipswich Town,2869,Wham Stadium,Dean Whitestone,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Bolton,5–2,Walsall,5506,Macron Stadium,Darren England,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Middlesbrough,5–0,P'borough Utd,11647,Riverside Stadium,James Linington,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Gillingham,1–0,Cardiff City,7090,MEMS Priestfield Stadium,Tim Robinson,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Aston Villa,0–3,Swansea City,30572,Villa Park,Gavin Ward,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Fleetwood Town,2–3,AFC Wimbledon,2131,Highbury Stadium,Ross Joyce,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Chelsea,2–0,Nott'ham Forest,40544,Stamford Bridge,Andy Madley,Match Report,
Third Round,Sat,2019-01-05,15:00 (09:00),Brentford,1–0,Oxford United,6106,Griffin Park,Jeremy Simpson,Match Report,
Third Round,Sat,2019-01-05,17:30 (11:30),Norwich City,0–1,Portsmouth,23201,Carrow Road,Darren Bond,Match Report,
Third Round,Sat,2019-01-05,17:30 (11:30),Blackpool,0–3,Arsenal,8955,Bloomfield Road,Mike Dean,Match Report,
Third Round,Sat,2019-01-05,17:30 (11:30),Crystal Palace,1–0,Grimsby Town,19967,Selhurst Park,Martin Atkinson,Match Report,
Third Round,Sat,2019-01-05,17:30 (11:30),Newcastle Utd,1–1,Blackburn,36440,St. James' Park,Kevin Friend,Match Report,
Third Round,Sat,2019-01-05,17:30 (11:30),Bristol City,1–0,Huddersfield,12179,Ashton Gate Stadium,Peter Bankes,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Preston,1–3,Doncaster,8101,Deepdale Stadium,Andrew Davies,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Fulham,1–2,Oldham Athletic,16134,Craven Cottage,Anthony Taylor,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),QPR,2–1,Leeds United,11637,Loftus Road Stadium,Geoff Eltringham,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Woking,0–2,Watford,5717,The Laithwaite Community Stadium,Graham Scott,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Sheffield Utd,0–1,Barnet,9906,Bramall Lane,Tony Harrington,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Manchester City,7–0,Rotherham Utd,52708,Etihad Stadium,David Coote,Match Report,
Third Round,Sun,2019-01-06,14:00 (08:00),Millwall,2–1,Hull City,5307,The Den,Andy Woolmer,Match Report,
Third Round,Sun,2019-01-06,16:30 (10:30),Newport County,2–1,Leicester City,6705,Rodney Parade,Chris Kavanagh,Match Report,
Third Round,Mon,2019-01-07,19:45 (13:45),Wolves,2–1,Liverpool,25849,Molineux Stadium,Paul Tierney,Match Report,
Third Round,Tue,2019-01-15,19:45 (13:45),Luton Town,0–1,Sheffield Weds,9259,Kenilworth Road Stadium,Tim Robinson,Match Report,
Third Round,Tue,2019-01-15,19:45 (13:45),Blackburn,2–4,Newcastle Utd,14228,Ewood Park,Lee Probert,Match Report,Required Extra Time
Third Round,Tue,2019-01-15,20:00 (14:00),Stoke City,2–3,Shrewsbury,10261,Bet365 Stadium,Geoff Eltringham,Match Report,
Third Round,Wed,2019-01-16,19:45 (13:45),Southampton,(3) 2–2 (5),Derby County,14651,St. Mary's Stadium,Anthony Taylor,Match Report,Derby County won replayed match on penalty kicks following extra time
Fourth Round,Fri,2019-01-25,19:45 (13:45),Bristol City,2–1,Bolton,13747,Ashton Gate Stadium,Stuart Attwell,Match Report,
Fourth Round,Fri,2019-01-25,19:55 (13:55),Arsenal,1–3,Manchester Utd,59571,Emirates Stadium,Craig Pawson,Match Report,
Fourth Round,Sat,2019-01-26,12:30 (06:30),Acc'ton Stanley,0–1,Derby County,5397,Wham Stadium,Jonathan Moss,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Brighton,0–0,West Brom,20001,The American Express Community Stadium,Lee Mason,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Newcastle Utd,0–2,Watford,34604,St. James' Park,David Coote,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Portsmouth,1–1,QPR,19378,Fratton Park,Gavin Ward,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Shrewsbury,2–2,Wolves,9503,Montgomery Waters Meadow,Roger East,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Manchester City,5–0,Burnley,50121,Etihad Stadium,Graham Scott,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Swansea City,4–1,Gillingham,15080,Liberty Stadium,Darren England,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Middlesbrough,1–1,Newport County,15794,Riverside Stadium,John Brooks,Match Report,
Fourth Round,Sat,2019-01-26,15:00 (09:00),Doncaster,2–1,Oldham Athletic,11260,Keepmoat Stadium,Peter Bankes,Match Report,
Fourth Round,Sat,2019-01-26,17:30 (11:30),Millwall,3–2,Everton,16354,The Den,Michael Oliver,Match Report,
Fourth Round,Sat,2019-01-26,19:45 (13:45),AFC Wimbledon,4–2,West Ham,4777,Cherry Red Records Fans' Stadium,Anthony Taylor,Match Report,
Fourth Round,Sun,2019-01-27,16:00 (10:00),Crystal Palace,2–0,Tottenham,19491,Selhurst Park,Kevin Friend,Match Report,
Fourth Round,Sun,2019-01-27,18:00 (12:00),Chelsea,3–0,Sheffield Weds,37433,Stamford Bridge,Andre Marriner,Match Report,
Fourth Round,Mon,2019-01-28,19:45 (13:45),Barnet,3–3,Brentford,6215,The Hive Stadium,Andy Madley,Match Report,
Fourth Round,Tue,2019-02-05,19:45 (13:45),QPR,2–0,Portsmouth,13115,Loftus Road Stadium,David Coote,Match Report,
Fourth Round,Tue,2019-02-05,19:45 (13:45),Wolves,3–2,Shrewsbury,28844,Molineux Stadium,Lee Probert,Match Report,
Fourth Round,Tue,2019-02-05,19:45 (13:45),Newport County,2–0,Middlesbrough,6552,Rodney Parade,Stuart Attwell,Match Report,
Fourth Round,Tue,2019-02-05,19:45 (13:45),Brentford,3–1,Barnet,6954,Griffin Park,Roger East,Match Report,
Fourth Round,Wed,2019-02-06,20:05 (14:05),West Brom,1–3,Brighton,8645,The Hawthorns,Paul Tierney,Match Report,Required Extra Time
Fifth Round,Fri,2019-02-15,19:45 (13:45),QPR,0–1,Watford,17212,Loftus Road Stadium,Michael Oliver,Match Report,
Fifth Round,Sat,2019-02-16,12:30 (06:30),Brighton,2–1,Derby County,24562,The American Express Community Stadium,David Coote,Match Report,
Fifth Round,Sat,2019-02-16,15:00 (09:00),AFC Wimbledon,0–1,Millwall,4795,Cherry Red Records Fans' Stadium,Jonathan Moss,Match Report,
Fifth Round,Sat,2019-02-16,17:30 (11:30),Newport County,1–4,Manchester City,9680,Rodney Parade,Andre Marriner,Match Report,
Fifth Round,Sun,2019-02-17,13:00 (07:00),Bristol City,0–1,Wolves,24394,Ashton Gate Stadium,Martin Atkinson,Match Report,
Fifth Round,Sun,2019-02-17,16:00 (10:00),Swansea City,4–1,Brentford,11261,Liberty Stadium,Stuart Attwell,Match Report,
Fifth Round,Sun,2019-02-17,16:00 (10:00),Doncaster,0–2,Crystal Palace,14010,Keepmoat Stadium,Mike Dean,Match Report,
Fifth Round,Mon,2019-02-18,19:30 (13:30),Chelsea,0–2,Manchester Utd,40562,Stamford Bridge,Kevin Friend,Match Report,
Quarter-finals,Sat,2019-03-16,12:15 (07:15),Watford,2–1,Crystal Palace,18104,Vicarage Road Stadium,Kevin Friend,Match Report,
Quarter-finals,Sat,2019-03-16,17:20 (12:20),Swansea City,2–3,Manchester City,19783,Liberty Stadium,Andre Marriner,Match Report,
Quarter-finals,Sat,2019-03-16,19:55 (14:55),Wolves,2–1,Manchester Utd,31004,Molineux Stadium,Martin Atkinson,Match Report,
Quarter-finals,Sun,2019-03-17,14:00 (09:00),Millwall,(4) 2–2 (5),Brighton,17137,The Den,Chris Kavanagh,Match Report,
Semi-finals,Sat,2019-04-06,17:30 (11:30),Manchester City,1–0,Brighton,71521,Wembley Stadium,Anthony Taylor,Match Report,
Semi-finals,Sun,2019-04-07,16:00 (10:00),Watford,3–2,Wolves,80092,Wembley Stadium,Michael Oliver,Match Report,Required Extra Time
Final,Sat,2019-05-18,17:00 (11:00),Manchester City,6–0,Watford,85854,Wembley Stadium,Kevin Friend,Match Report,
