Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second Round,,Tue,2015-12-15,19:45 (13:45),Hartlepool Utd,2–0,Salford City,4374,The Northern Gas and Power Stadium,Jeremy Simpson,Match Report,Required Extra Time
Second Round,,Wed,2015-12-16,19:45 (13:45),Whitehawk,2–3,Dag & Red,2174,The Banks's Stadium,Keith Stroud,Match Report,Required Extra Time
,,,,,,,,,,,,
Third Round,,Fri,2016-01-08,19:55 (13:55),Exeter City,2–2,Liverpool,8298,St. James' Park,Stuart Attwell,Match Report,
Third Round,,Sat,2016-01-09,12:45 (06:45),Wycombe,1–1,Aston Villa,9298,Adams Park,Michael Oliver,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Watford,1–0,Newcastle Utd,18259,Vicarage Road Stadium,Roger East,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Southampton,1–2,Crystal Palace,60763,St. Mary's Stadium,Lee Mason,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Nott'ham Forest,1–0,QPR,14197,The City Ground,Oliver Langford,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Norwich City,0–3,Manchester City,24507,Carrow Road,Mike Dean,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Arsenal,3–1,Sunderland,59349,Emirates Stadium,Martin Atkinson,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Eastleigh,1–1,Bolton,5200,Silverlake Stadium,Ian Williamson,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Leeds United,2–0,Rotherham Utd,16039,Elland Road,Andy Woolmer,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Sheffield Weds,2–1,Fulham,15244,Hillsborough Stadium,Gavin Ward,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Huddersfield,2–2,Reading,9236,The John Smith's Stadium,Jeremy Simpson,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Doncaster,1–2,Stoke City,13299,Keepmoat Stadium,Keith Stroud,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Everton,2–0,Dag & Red,30918,Goodison Park,Paul Tierney,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),P'borough Utd,2–0,Preston,7665,ABAX Stadium,Tony Harrington,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Birmingham City,1–2,Bournemouth,13140,St Andrew's Trillion Trophy Stadium,Mike Jones,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Ipswich Town,2–2,Portsmouth,17020,Portman Road Stadium,David Coote,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Brentford,0–1,Walsall,7950,Griffin Park,Andrew Davies,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),West Brom,2–2,Bristol City,24917,The Hawthorns,Graham Scott,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Hartlepool Utd,1–2,Derby County,4860,The Northern Gas and Power Stadium,Darren Bond,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Colchester Utd,2–1,Charlton Ath,5742,JobServe Community Stadium,Chris Kavanagh,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Middlesbrough,1–2,Burnley,18286,Riverside Stadium,Simon Hooper,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Bury,0–0,Bradford City,6962,Gigg Lane,Rob Lewis,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Hull City,1–0,Brighton,10706,Kingston Communications Stadium,Geoff Eltringham,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),West Ham,1–0,Wolves,34547,Boleyn Ground,Anthony Taylor,Match Report,
Third Round,,Sat,2016-01-09,15:00 (09:00),Northampton,2–2,MK Dons,5878,Sixfields Stadium,Darren Drysdale,Match Report,
Third Round,,Sat,2016-01-09,17:30 (11:30),Manchester Utd,1–0,Sheffield Utd,74284,Old Trafford,Andre Marriner,Match Report,
Third Round,,Sun,2016-01-10,12:00 (06:00),Oxford United,3–2,Swansea City,11673,The Kassam Stadium,Kevin Friend,Match Report,
Third Round,,Sun,2016-01-10,14:00 (08:00),Carlisle United,2–2,Yeovil Town,3357,Bloomfield Road,Andy Madley,Match Report,
Third Round,,Sun,2016-01-10,14:00 (08:00),Chelsea,2–0,Scunthorpe Utd,41625,Stamford Bridge,Craig Pawson,Match Report,
Third Round,,Sun,2016-01-10,16:00 (10:00),Tottenham,2–2,Leicester City,35805,White Hart Lane,Robert Madley,Match Report,
Third Round,,Sun,2016-01-10,18:00 (12:00),Cardiff City,0–1,Shrewsbury,4782,Cardiff City Stadium,Peter Bankes,Match Report,
