Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2018-08-19,15:30 (08:30),Karlsruher,0–6,Hannover 96,12234,Wildparkstadion,Bastian Dankert,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),Jeddeloh II,2–5,Heidenheim,4805,Marschwegstadion,Michael Bacher,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),Weiche,1–0,Bochum,3500,Manfred-Werner-Stadion,René Rohde,Match Report,
First Round,Sun,2018-08-19,18:30 (11:30),1860 Munich,1–3,Holstein Kiel,14200,Städtisches Stadion an der Grünwalder St...,Sascha Stegemann,Match Report,
First Round,Sun,2018-08-19,18:30 (11:30),Carl Zeiss Jena,2–4,Union Berlin,10600,Ernst-Abbe-Sportfeld,Felix Brych,Match Report,
First Round,Sun,2018-08-19,18:30 (11:30),Hastedt,1–11,M'gladbach,4997,Weserstadion Platz 11,Christof Günsch,Match Report,
First Round,Mon,2018-08-20,18:30 (11:30),Energie Cottbus,(3) 2–2 (5),Freiburg,15245,Stadion der Freundschaft,Harm Osmers,Match Report,Freiburg won on penalty kicks following extra time
First Round,Mon,2018-08-20,18:30 (11:30),Paderborn 07,2–1,Ingolstadt 04,9427,Benteler-Arena,Daniel Siebert,Match Report,
First Round,Mon,2018-08-20,18:30 (11:30),Braunschweig,1–2,Hertha BSC,16710,Eintracht-Stadion,Guido Winkmann,Match Report,
First Round,Mon,2018-08-20,20:45 (13:45),Greuther Fürth,1–2,Dortmund,15500,Sportpark Ronhof Thomas Sommer,Manuel Gräfe,Match Report,Required Extra Time
,,,,,,,,,,,
Second Round,Tue,2018-10-30,18:30 (12:30),Chemie,0–3,Paderborn 07,4999,Alfred-Kunze-Sportpark,Christian Dietz,Match Report,
Second Round,Tue,2018-10-30,18:30 (12:30),Darmstadt 98,0–2,Hertha BSC,15000,Jonathan-Heimes-Stadion am Böllenfalltor,Robert Kampka,Match Report,
Second Round,Tue,2018-10-30,18:30 (12:30),SSV Ulm,1–5,Düsseldorf,17000,Donaustadion,Florian Badstübner,Match Report,
Second Round,Tue,2018-10-30,18:30 (12:30),Hannover 96,0–2,Wolfsburg,34400,HDI-Arena,Benjamin Cortus,Match Report,
Second Round,Tue,2018-10-30,20:45 (14:45),Heidenheim,3–0,Sandhausen,4300,Voith-Arena,Sven Waschitzki,Match Report,
Second Round,Tue,2018-10-30,20:45 (14:45),Wehen,0–3,Hamburger SV,11170,BRITA-Arena,Matthias Jöllenbeck,Match Report,
Second Round,Tue,2018-10-30,20:45 (14:45),Rödinghausen,1–2,Bayern Munich,16000,Stadion an der Bremer Brücke,Timo Gerach,Match Report,
Second Round,Tue,2018-10-30,20:45 (14:45),Augsburg,3–2,Mainz 05,15561,WWK Arena,Manuel Gräfe,Match Report,Required Extra Time
Second Round,Wed,2018-10-31,18:30 (12:30),Hansa Rostock,(2) 2–2 (4),Nürnberg,23900,Ostseestadion,Martin Thomsen,Match Report,Nürnberg won on penalty kicks following extra time
Second Round,Wed,2018-10-31,18:30 (12:30),Weiche,1–5,Werder Bremen,8600,Stadion an der Lohmühle,Tobias Reichel,Match Report,
Second Round,Wed,2018-10-31,18:30 (12:30),Köln,(5) 1–1 (6),Schalke 04,50000,RheinEnergieSTADION,Harm Osmers,Match Report,Schalke 04 won on penalty kicks following extra time
Second Round,Wed,2018-10-31,18:30 (12:30),Dortmund,3–2,Union Berlin,72732,Signal Iduna Park,Guido Winkmann,Match Report,Required Extra Time
Second Round,Wed,2018-10-31,20:45 (14:45),M'gladbach,0–5,Bayer,48755,Stadion im Borussia-Park,Tobias Welz,Match Report,
Second Round,Wed,2018-10-31,20:45 (14:45),Arminia,0–3,MSV Duisburg,19143,SchücoArena,Aarne Aarnink,Match Report,
Second Round,Wed,2018-10-31,20:45 (14:45),RB Leipzig,2–0,Hoffenheim,21042,Red Bull Arena,Marco Fritz,Match Report,
Second Round,Wed,2018-10-31,20:45 (14:45),Holstein Kiel,2–1,Freiburg,9361,Holstein-Stadion,Sören Storks,Match Report,
,,,,,,,,,,,
Round of 16,Tue,2019-02-05,18:30 (11:30),Hamburger SV,1–0,Nürnberg,47628,Volksparkstadion,Harm Osmers,Match Report,
Round of 16,Tue,2019-02-05,18:30 (11:30),Heidenheim,2–1,Bayer,11400,Voith-Arena,Robert Hartmann,Match Report,
Round of 16,Tue,2019-02-05,20:45 (13:45),Dortmund,(2) 3–3 (4),Werder Bremen,81365,Signal Iduna Park,Felix Brych,Match Report,Werder Bremen won on penalty kicks following extra time
Round of 16,Tue,2019-02-05,20:45 (13:45),MSV Duisburg,1–3,Paderborn 07,12509,Schauinsland-Reisen-Arena,Sven Jablonski,Match Report,
Round of 16,Wed,2019-02-06,18:30 (11:30),RB Leipzig,1–0,Wolfsburg,21135,Red Bull Arena,Christian Dingert,Match Report,
Round of 16,Wed,2019-02-06,18:30 (11:30),Holstein Kiel,0–1,Augsburg,11198,Holstein-Stadion,Frank Willenborg,Match Report,
Round of 16,Wed,2019-02-06,20:45 (13:45),Hertha BSC,2–3,Bayern Munich,74200,Olympiastadion Berlin,Markus Schmidt,Match Report,Required Extra Time
Round of 16,Wed,2019-02-06,20:45 (13:45),Schalke 04,4–1,Düsseldorf,56638,Veltins-Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,
Quarter-finals,Tue,2019-04-02,18:30 (11:30),Paderborn 07,0–2,Hamburger SV,15000,Benteler-Arena,Tobias Welz,Match Report,
Quarter-finals,Tue,2019-04-02,20:45 (13:45),Augsburg,1–2,RB Leipzig,25350,WWK Arena,Tobias Stieler,Match Report,Required Extra Time
Quarter-finals,Wed,2019-04-03,18:30 (11:30),Bayern Munich,5–4,Heidenheim,75000,Allianz Arena,Guido Winkmann,Match Report,
Quarter-finals,Wed,2019-04-03,20:45 (13:45),Schalke 04,0–2,Werder Bremen,61597,Veltins-Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,
Semi-finals,Tue,2019-04-23,20:45 (13:45),Hamburger SV,1–3,RB Leipzig,52365,Volksparkstadion,Felix Brych,Match Report,
Semi-finals,Wed,2019-04-24,20:45 (13:45),Werder Bremen,2–3,Bayern Munich,6181,Weserstadion,Daniel Siebert,Match Report,
,,,,,,,,,,,
Final,Sat,2019-05-25,20:00 (13:00),RB Leipzig,0–3,Bayern Munich,74322,Olympiastadion Berlin,Tobias Stieler,Match Report,
