Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2019-11-10,14:00 (07:00),Athletic Bilbao,2.1,2–1,0.9,Levante,33202,San Mamés,Alberola Rojas,Match Report,
13,Sun,2019-11-10,16:00 (09:00),Atlético Madrid,2.5,3–1,0.3,Espanyol,53069,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
13,Sun,2019-11-10,18:30 (11:30),Getafe,1.2,0–0,0.1,Osasuna,10558,Coliseum Alfonso Pérez,César Soto,Match Report,
13,Sun,2019-11-10,21:00 (14:00),Betis,1.3,1–2,0.9,Sevilla,52123,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
,,,,,,,,,,,,,
14,Fri,2019-11-22,21:00 (14:00),Levante,1.2,2–1,1.5,Mallorca,15110,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
14,Sat,2019-11-23,13:00 (06:00),Leganés,0.4,1–2,1.7,Barcelona,12110,Estadio Municipal de Butarque,Santiago Jaime,Match Report,
14,Sat,2019-11-23,16:00 (09:00),Betis,2.0,2–1,0.8,Valencia,46545,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
14,Sat,2019-11-23,18:30 (11:30),Granada,0.6,1–1,1.6,Atlético Madrid,17003,Estadio Nuevo Los Cármenes,David Medié,Match Report,
14,Sat,2019-11-23,21:00 (14:00),Real Madrid,1.5,3–1,1.9,Real Sociedad,69305,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
14,Sun,2019-11-24,12:00 (05:00),Espanyol,0.9,1–1,0.6,Getafe,22031,RCDE Stadium,Pablo González,Match Report,
14,Sun,2019-11-24,14:00 (07:00),Osasuna,1.0,1–2,1.2,Athletic Bilbao,16145,Estadio El Sadar,José Sánchez,Match Report,
14,Sun,2019-11-24,16:00 (09:00),Eibar,1.5,0–2,2.1,Alavés,6315,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Match Report,
14,Sun,2019-11-24,18:30 (11:30),Villarreal,0.8,1–3,2.0,Celta Vigo,17352,Estadio de la Cerámica,José Luis Munuera,Match Report,
14,Sun,2019-11-24,21:00 (14:00),Valladolid,0.6,0–1,1.2,Sevilla,18169,Estadio Municipal José Zorrilla,Eduardo Prieto,Match Report,
,,,,,,,,,,,,,
