Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,7,Sat,2018-09-29,19:30 (13:30),Tenerife,1–0,Cádiz,10013,Estadio Heliodoro Rodríguez Lopéz,Aitor Gorostegui,Match Report,
Regular Season,7,Sun,2018-09-30,12:00 (05:00),Alcorcón,2–0,Oviedo,3393,Estadio Santo Domingo,Luis Milla,Match Report,
Regular Season,7,Sun,2018-09-30,16:00 (09:00),Málaga,1–0,Majadahonda,18365,Estadio La Rosaleda,Javier Villanueva,Match Report,
Regular Season,7,Sun,2018-09-30,18:00 (11:00),Osasuna,0–0,Numancia,14392,Estadio El Sadar,Jorge Figueroa,Match Report,
Regular Season,7,Sun,2018-09-30,18:00 (11:00),Almería,2–0,Reus,7543,Estadio de los Juegos Mediterráneos,Juan Pulido,Match Report,
Regular Season,7,Sun,2018-09-30,20:00 (13:00),Extremadura,2–2,Elche,9723,Estadio Francisco de la Hera,Santiago Varón,Match Report,
Regular Season,7,Sun,2018-09-30,20:30 (13:30),Gimnàstic,1–3,La Coruña,5790,Nou Estadi de Tarragona,Víctor Areces,Match Report,
,,,,,,,,,,,,
Regular Season,8,Sat,2018-10-06,16:00 (09:00),Mallorca,4–1,Tenerife,7404,Iberostar Estadi,Daniel Ocón,Match Report,
Regular Season,8,Sat,2018-10-06,18:00 (11:00),Numancia,1–0,Extremadura,3053,Nuevo Estadio Los Pajaritos,Abraham Domínguez,Match Report,
Regular Season,8,Sat,2018-10-06,20:00 (13:00),Córdoba,1–0,Almería,11284,Estadio Nuevo Arcángel,Álvaro Moreno,Match Report,
Regular Season,8,Sat,2018-10-06,19:30 (13:30),Las Palmas,0–0,Alcorcón,13718,Estadio de Gran Canaria,Iñaki Bikandi,Match Report,
Regular Season,8,Sun,2018-10-07,12:00 (05:00),Reus,1–2,Granada,2475,Estadio Camp Nou Municipal,David Pérez,Match Report,
Regular Season,8,Sun,2018-10-07,16:00 (09:00),Oviedo,1–0,Albacete,12728,Estadio Nuevo Carlos Tartiere,Oliver De La Fuente,Match Report,
Regular Season,8,Sun,2018-10-07,18:00 (11:00),La Coruña,1–1,Málaga,18296,Estadio Municipal de Riazor,Isidro Díaz de Mera,Match Report,
