Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,7,Tue,2014-09-23,17:30 (10:30),St. Pauli,1–0,Braunschweig,27013,Millerntor-Stadion,Peter Sippel,Match Report,
Regular Season,7,Tue,2014-09-23,17:30 (10:30),Greuther Fürth,1–1,Aalen,9045,Sportpark Ronhof Thomas Sommer,Frank Willenborg,Match Report,
Regular Season,7,Tue,2014-09-23,17:30 (10:30),Sandhausen,1–0,1860 Munich,5083,Hardtwaldstadion,Aarne Aarnink,Match Report,
Regular Season,7,Tue,2014-09-23,17:30 (10:30),Ingolstadt 04,1–1,Erzgebirge Aue,4814,Audi-Sportpark,Markus Wingenbach,Match Report,
Regular Season,7,Wed,2014-09-24,17:30 (10:30),RB Leipzig,3–1,Karlsruher,18235,Red Bull Arena,Markus Schmidt,Match Report,
Regular Season,7,Wed,2014-09-24,17:30 (10:30),Kaiserslautern,1–0,Union Berlin,31384,Fritz-Walter-Stadion,Florian Meyer,Match Report,
Regular Season,7,Wed,2014-09-24,17:30 (10:30),Darmstadt 98,4–0,FSV Frankfurt,12400,Jonathan-Heimes-Stadion am Böllenfalltor,Thorsten Schiffner,Match Report,
Regular Season,7,Wed,2014-09-24,17:30 (10:30),Heidenheim,3–0,Nürnberg,13000,Voith-Arena,René Rohde,Match Report,
Regular Season,7,Thu,2014-09-25,20:15 (13:15),Bochum,1–1,Düsseldorf,24466,Vonovia Ruhrstadion,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2014-09-26,18:30 (11:30),Braunschweig,2–1,Sandhausen,20680,Eintracht-Stadion,Christian Dietz,Match Report,
Regular Season,8,Fri,2014-09-26,18:30 (11:30),Erzgebirge Aue,1–0,Aalen,7000,Sparkassen-Erzgebirgsstadion,Wolfgang Stark,Match Report,
Regular Season,8,Fri,2014-09-26,18:30 (11:30),1860 Munich,2–0,Greuther Fürth,18300,Allianz Arena,Sascha Stegemann,Match Report,
Regular Season,8,Sat,2014-09-27,13:00 (06:00),Union Berlin,1–1,Darmstadt 98,18124,Stadion An der Alten Försterei,Harm Osmers,Match Report,
Regular Season,8,Sat,2014-09-27,13:00 (06:00),Karlsruher,0–1,Ingolstadt 04,11462,Wildparkstadion,Manuel Gräfe,Match Report,
Regular Season,8,Sun,2014-09-28,13:30 (06:30),Heidenheim,5–0,Bochum,11500,Voith-Arena,Guido Winkmann,Match Report,
Regular Season,8,Sun,2014-09-28,13:30 (06:30),Düsseldorf,2–2,RB Leipzig,30477,Merkur Spielarena,Benjamin Cortus,Match Report,
Regular Season,8,Sun,2014-09-28,13:30 (06:30),FSV Frankfurt,3–3,St. Pauli,8106,Frankfurter Volksbank Stadion,Daniel Siebert,Match Report,
Regular Season,8,Mon,2014-09-29,20:15 (13:15),Nürnberg,3–2,Kaiserslautern,25130,Max-Morlock-Stadion,Thorsten Kinhöfer,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2014-10-03,18:30 (11:30),Bochum,1–1,Nürnberg,25094,Vonovia Ruhrstadion,Peter Gagelmann,Match Report,
Regular Season,9,Fri,2014-10-03,18:30 (11:30),Greuther Fürth,2–0,Erzgebirge Aue,12960,Sportpark Ronhof Thomas Sommer,Bibiana Steinhaus,Match Report,
Regular Season,9,Fri,2014-10-03,18:30 (11:30),Aalen,2–0,1860 Munich,9226,Scholz Arena,Martin Thomsen,Match Report,
Regular Season,9,Sat,2014-10-04,13:00 (06:00),Kaiserslautern,2–0,Karlsruher,39079,Fritz-Walter-Stadion,Robert Kempter,Match Report,
Regular Season,9,Sat,2014-10-04,13:00 (06:00),St. Pauli,3–0,Union Berlin,29063,Millerntor-Stadion,Guido Winkmann,Match Report,
Regular Season,9,Sun,2014-10-05,13:30 (06:30),Sandhausen,0–3,FSV Frankfurt,5012,Hardtwaldstadion,Robert Kampka,Match Report,
Regular Season,9,Sun,2014-10-05,13:30 (06:30),Ingolstadt 04,1–0,Braunschweig,7750,Audi-Sportpark,Martin Petersen,Match Report,
Regular Season,9,Sun,2014-10-05,13:30 (06:30),Darmstadt 98,1–4,Düsseldorf,16150,Jonathan-Heimes-Stadion am Böllenfalltor,Marco Fritz,Match Report,
Regular Season,9,Mon,2014-10-06,20:15 (13:15),RB Leipzig,1–1,Heidenheim,18820,Red Bull Arena,Robert Hartmann,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2014-10-17,18:30 (11:30),Heidenheim,1–1,Kaiserslautern,13000,Voith-Arena,Felix Brych,Match Report,
Regular Season,10,Fri,2014-10-17,18:30 (11:30),Bochum,1–1,Darmstadt 98,19618,Vonovia Ruhrstadion,Robert Hartmann,Match Report,
