Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,2019-09-21,18:00 (11:00),Zaragoza,0–0,Lugo,24594,Estadio de la Romareda,Víctor Areces,Match Report,
7,Sat,2019-09-21,20:00 (13:00),Rayo Vallecano,1–1,Almería,9098,Estadio del Rayo Vallecano,Daniel Ocón,Match Report,
7,Sat,2019-09-21,20:30 (13:30),Albacete,1–0,Málaga,8190,Estadio Carlos Belmonte,Daniel Trujillo,Match Report,
7,Sun,2019-09-22,12:00 (05:00),Ponferradina,2–1,Oviedo,6517,Estadio El Toralín,Rubén Ávalos,Match Report,
7,Sun,2019-09-22,16:00 (09:00),Girona,1–0,Las Palmas,8332,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
7,Sun,2019-09-22,18:00 (11:00),Numancia,1–1,Elche,3058,Nuevo Estadio Los Pajaritos,Álvaro Moreno,Match Report,
7,Sun,2019-09-22,18:00 (11:00),Sporting Gijón,1–1,Santander,22254,Estadio Municipal El Molinón,Aitor Gorostegui,Match Report,
7,Sun,2019-09-22,19:00 (13:00),Tenerife,0–1,Fuenlabrada,11249,Estadio Heliodoro Rodríguez Lopéz,Jorge Figueroa,Match Report,
7,Sun,2019-09-22,20:00 (13:00),Extremadura,0–1,Huesca,6261,Estadio Francisco de la Hera,Juan Pulido,Match Report,
,,,,,,,,,,,
8,Fri,2019-09-27,20:00 (14:00),Las Palmas,3–2,Albacete,9396,Estadio de Gran Canaria,Gorka Sagues,Match Report,
8,Sat,2019-09-28,16:00 (09:00),Fuenlabrada,2–2,Rayo Vallecano,5320,Estadio Fernando Torres,Javier Villanueva,Match Report,
8,Sat,2019-09-28,18:00 (11:00),Huesca,1–0,Girona,6586,Estadio El Alcoraz,Oliver De La Fuente,Match Report,
8,Sat,2019-09-28,18:00 (11:00),Alcorcón,0–2,Extremadura,2747,Estadio Santo Domingo,Santiago Varón,Match Report,
8,Sat,2019-09-28,20:00 (13:00),Santander,0–0,Numancia,12534,Campos de Sport de El Sardinero,Iosu Galech,Match Report,
8,Sat,2019-09-28,20:00 (13:00),Elche,1–0,Ponferradina,8227,Estadio Manuel Martínez Valero,Iñaki Bikandi,Match Report,
8,Sun,2019-09-29,12:00 (05:00),Málaga,0–0,Sporting Gijón,15272,Estadio La Rosaleda,Dámaso Arcediano,Match Report,
8,Sun,2019-09-29,16:00 (09:00),Almería,1–2,Cádiz,13082,Estadio de los Juegos Mediterráneos,Daniel Trujillo,Match Report,
8,Sun,2019-09-29,18:30 (11:30),Oviedo,2–2,Zaragoza,12493,Estadio Nuevo Carlos Tartiere,Isidro Díaz de Mera,Match Report,
8,Sun,2019-09-29,21:00 (14:00),La Coruña,1–1,CD Mirandés,13331,Estadio Municipal de Riazor,Miguel Ángel Ortiz Arias,Match Report,
8,Sun,2019-09-29,21:00 (14:00),Lugo,1–4,Tenerife,2679,Estadio Anxo Carro,Luis Milla,Match Report,
,,,,,,,,,,,
9,Tue,2019-10-01,19:00 (12:00),Extremadura,2–0,Elche,6422,Estadio Francisco de la Hera,Alejandro Muñíz,Match Report,
9,Tue,2019-10-01,19:00 (12:00),Albacete,0–0,Santander,7891,Estadio Carlos Belmonte,Víctor Areces,Match Report,
9,Tue,2019-10-01,19:00 (12:00),Numancia,1–0,Fuenlabrada,2866,Nuevo Estadio Los Pajaritos,Aitor Gorostegui,Match Report,
9,Tue,2019-10-01,21:00 (14:00),Rayo Vallecano,1–1,Alcorcón,8350,Estadio del Rayo Vallecano,Rubén Ávalos,Match Report,
