Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2019-09-29,13:30 (06:30),Greuther Fürth,0–3,Holstein Kiel,9350,Sportpark Ronhof Thomas Sommer,Aarne Aarnink,Match Report,
8,Sun,2019-09-29,13:30 (06:30),Erzgebirge Aue,4–1,Dynamo Dres,15300,Sparkassen-Erzgebirgsstadion,Robert Hartmann,Match Report,
8,Mon,2019-09-30,20:30 (13:30),Hannover 96,0–4,Nürnberg,26800,HDI-Arena,Martin Petersen,Match Report,
,,,,,,,,,,,
9,Fri,2019-10-04,18:30 (11:30),Stuttgart,1–2,Wehen,49627,Mercedes-Benz Arena,Johann Pfeifer,Match Report,
9,Fri,2019-10-04,18:30 (11:30),Darmstadt 98,1–1,Karlsruher,14850,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Brych,Match Report,
9,Sat,2019-10-05,13:00 (06:00),Hamburger SV,2–0,Greuther Fürth,44180,Volksparkstadion,Florian Heft,Match Report,
9,Sat,2019-10-05,13:00 (06:00),Sandhausen,2–2,Erzgebirge Aue,5042,Hardtwaldstadion,Christof Günsch,Match Report,
9,Sat,2019-10-05,13:00 (06:00),Dynamo Dres,0–2,Hannover 96,28359,DDV-Stadion,Christian Dingert,Match Report,
9,Sun,2019-10-06,13:30 (06:30),Nürnberg,1–1,St. Pauli,32117,Max-Morlock-Stadion,Lasse Koslowski,Match Report,
9,Sun,2019-10-06,13:30 (06:30),Heidenheim,2–3,Bochum,10350,Voith-Arena,Michael Bacher,Match Report,
9,Sun,2019-10-06,13:30 (06:30),Holstein Kiel,1–2,Jahn R'burg,10065,Holstein-Stadion,Sven Waschitzki,Match Report,
9,Mon,2019-10-07,20:30 (13:30),Osnabrück,0–1,Arminia,15800,Stadion an der Bremer Brücke,Markus Schmidt,Match Report,
,,,,,,,,,,,
10,Fri,2019-10-18,18:30 (11:30),Greuther Fürth,2–0,Dynamo Dres,9770,Sportpark Ronhof Thomas Sommer,Robert Kampka,Match Report,
10,Fri,2019-10-18,18:30 (11:30),Erzgebirge Aue,4–3,Nürnberg,14000,Sparkassen-Erzgebirgsstadion,Daniel Schlager,Match Report,
10,Sat,2019-10-19,13:00 (06:00),St. Pauli,0–1,Darmstadt 98,29412,Millerntor-Stadion,Tobias Reichel,Match Report,
10,Sat,2019-10-19,13:00 (06:00),Jahn R'burg,1–0,Sandhausen,11342,Continental Arena,Thorben Siewer,Match Report,
10,Sat,2019-10-19,13:00 (06:00),Wehen,0–0,Heidenheim,5023,BRITA-Arena,Alexander Sather,Match Report,
10,Sun,2019-10-20,13:30 (06:30),Hannover 96,0–0,Osnabrück,37600,HDI-Arena,Florian Badstübner,Match Report,
10,Sun,2019-10-20,13:30 (06:30),Bochum,3–3,Karlsruher,14954,Vonovia Ruhrstadion,Nicolas Winter,Match Report,
10,Sun,2019-10-20,13:30 (06:30),Stuttgart,0–1,Holstein Kiel,54176,Mercedes-Benz Arena,Benedikt Kempkes,Match Report,
10,Mon,2019-10-21,20:30 (13:30),Arminia,1–1,Hamburger SV,26515,SchücoArena Kunstrasenplatz,Frank Willenborg,Match Report,
,,,,,,,,,,,
