Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2017-10-15,15:00 (08:00),Sampdoria,3–1,Atalanta,19672,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
8,Sun,2017-10-15,15:00 (08:00),Cagliari,2–3,Genoa,13981,Stadio Sant'Elia,Davide Massa,Match Report,
8,Sun,2017-10-15,20:45 (13:45),Inter,3–2,Milan,78328,Stadio Giuseppe Meazza,Paolo Tagliavento,Match Report,
8,Mon,2017-10-16,20:45 (13:45),Hellas Verona,1–0,Benevento,16282,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,
,,,,,,,,,,,
9,Sat,2017-10-21,18:00 (11:00),Sampdoria,5–0,Crotone,18220,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
9,Sat,2017-10-21,20:45 (13:45),Napoli,0–0,Inter,49762,Stadio San Paolo,Luca Banti,Match Report,
9,Sun,2017-10-22,12:30 (05:30),Chievo,3–2,Hellas Verona,15000,Stadio Marc'Antonio Bentegodi,Rosario Abisso,Match Report,
9,Sun,2017-10-22,15:00 (08:00),Torino,0–1,Roma,19646,Stadio Olimpico di Torino,Antonio Damato,Match Report,
9,Sun,2017-10-22,15:00 (08:00),Benevento,0–3,Fiorentina,10887,Stadio Ciro Vigorito,Claudio Gavillucci,Match Report,
9,Sun,2017-10-22,15:00 (08:00),Atalanta,1–0,Bologna,18205,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
9,Sun,2017-10-22,15:00 (08:00),SPAL,0–1,Sassuolo,10338,Stadio Paolo Mazza,Michael Fabbri,Match Report,
9,Sun,2017-10-22,15:00 (08:00),Milan,0–0,Genoa,47219,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
9,Sun,2017-10-22,18:00 (11:00),Udinese,2–6,Juventus,21992,Dacia Arena,Daniele Doveri,Match Report,
9,Sun,2017-10-22,20:45 (13:45),Lazio,3–0,Cagliari,20000,Stadio Olimpico,Luca Pairetto,Match Report,
,,,,,,,,,,,
10,Tue,2017-10-24,20:45 (13:45),Inter,3–2,Sampdoria,54451,Stadio Giuseppe Meazza,Marco Guida,Match Report,
10,Wed,2017-10-25,18:30 (11:30),Atalanta,3–0,Hellas Verona,16768,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Cagliari,2–1,Benevento,13630,Stadio Sant'Elia,Massimiliano Irrati,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Genoa,2–3,Napoli,23367,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Roma,1–0,Crotone,31605,Stadio Olimpico,Gianluca Manganiello,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Juventus,4–1,SPAL,38539,Allianz Stadium,Fabrizio Pasqua,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Fiorentina,3–0,Torino,22459,Stadio Artemio Franchi,Maurizio Mariani,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Chievo,1–4,Milan,7300,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Bologna,1–2,Lazio,20070,Stadio Renato Dall'Ara,Davide Massa,Match Report,
10,Wed,2017-10-25,20:45 (13:45),Sassuolo,0–1,Udinese,7563,Stadio Città del Tricolore,Paolo Tagliavento,Match Report,
,,,,,,,,,,,
11,Sat,2017-10-28,18:00 (11:00),Milan,0–2,Juventus,78328,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
11,Sat,2017-10-28,20:45 (13:45),Roma,1–0,Bologna,35202,Stadio Olimpico,Michael Fabbri,Match Report,
11,Sun,2017-10-29,12:30 (06:30),Benevento,1–5,Lazio,12413,Stadio Ciro Vigorito,Piero Giacomelli,Match Report,
11,Sun,2017-10-29,15:00 (09:00),Udinese,2–1,Atalanta,9038,Dacia Arena,Gianluca Rocchi,Match Report,
11,Sun,2017-10-29,15:00 (09:00),Crotone,2–1,Fiorentina,8906,Stadio Ezio Scida,Fabio Maresca,Match Report,
11,Sun,2017-10-29,15:00 (09:00),SPAL,1–0,Genoa,12100,Stadio Paolo Mazza,Daniele Orsato,Match Report,
11,Sun,2017-10-29,15:00 (09:00),Napoli,3–1,Sassuolo,53609,Stadio San Paolo,Luca Pairetto,Match Report,
11,Sun,2017-10-29,15:00 (09:00),Sampdoria,4–1,Chievo,17972,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
11,Sun,2017-10-29,20:45 (14:45),Torino,2–1,Cagliari,18309,Stadio Olimpico di Torino,Giampaolo Calvarese,Match Report,
11,Mon,2017-10-30,20:45 (14:45),Hellas Verona,1–2,Inter,26948,Stadio Marc'Antonio Bentegodi,Claudio Gavillucci,Match Report,
,,,,,,,,,,,
12,Sat,2017-11-04,18:00 (12:00),Bologna,2–3,Crotone,33766,Stadio Renato Dall'Ara,Fabrizio Pasqua,Match Report,
12,Sat,2017-11-04,20:45 (14:45),Genoa,0–2,Sampdoria,32288,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
12,Sun,2017-11-05,12:30 (05:30),Inter,1–1,Torino,71581,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
12,Sun,2017-11-05,15:00 (08:00),Juventus,2–1,Benevento,39125,Allianz Stadium,Rosario Abisso,Match Report,
12,Sun,2017-11-05,15:00 (08:00),Fiorentina,2–4,Roma,25026,Stadio Artemio Franchi,Marco Di Bello,Match Report,
12,Sun,2017-11-05,15:00 (08:00),Chievo,0–0,Napoli,7300,Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,
12,Sun,2017-11-05,15:00 (08:00),Cagliari,2–1,Hellas Verona,13213,Stadio Sant'Elia,Marco Guida,Match Report,
12,Sun,2017-11-05,18:00 (11:00),Atalanta,1–1,SPAL,17042,Stadio Atleti Azzurri d'Italia,Daniele Chiffi,Match Report,
12,Sun,2017-11-05,20:45 (13:45),Sassuolo,0–2,Milan,12683,Stadio Città del Tricolore,Antonio Damato,Match Report,
,,,,,,,,,,,
13,Sat,2017-11-18,18:00 (11:00),Roma,2–1,Lazio,55775,Stadio Olimpico,Gianluca Rocchi,Match Report,
13,Sat,2017-11-18,20:45 (13:45),Napoli,2–1,Milan,36557,Stadio San Paolo,Daniele Doveri,Match Report,
13,Sun,2017-11-19,12:30 (05:30),Crotone,0–1,Genoa,9106,Stadio Ezio Scida,Paolo Tagliavento,Match Report,
13,Sun,2017-11-19,15:00 (08:00),SPAL,1–1,Fiorentina,12124,Stadio Paolo Mazza,Giampaolo Calvarese,Match Report,
13,Sun,2017-11-19,15:00 (08:00),Udinese,0–1,Cagliari,3830,Dacia Arena,Gianluca Manganiello,Match Report,
13,Sun,2017-11-19,15:00 (08:00),Sampdoria,3–2,Juventus,28786,Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,
13,Sun,2017-11-19,15:00 (08:00),Torino,1–1,Chievo,15523,Stadio Olimpico di Torino,Luca Banti,Match Report,
13,Sun,2017-11-19,15:00 (08:00),Benevento,1–2,Sassuolo,10312,Stadio Ciro Vigorito,Paolo Mazzoleni,Match Report,
13,Sun,2017-11-19,20:45 (13:45),Inter,2–0,Atalanta,52177,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
13,Mon,2017-11-20,20:45 (13:45),Hellas Verona,2–3,Bologna,14938,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,
,,,,,,,,,,,
14,Sat,2017-11-25,15:00 (08:00),Bologna,3–0,Sampdoria,20192,Stadio Renato Dall'Ara,Fabio Maresca,Match Report,
14,Sat,2017-11-25,18:00 (11:00),Sassuolo,0–2,Hellas Verona,8774,Stadio Città del Tricolore,Paolo Valeri,Match Report,
14,Sat,2017-11-25,18:00 (11:00),Chievo,2–1,SPAL,10000,Stadio Marc'Antonio Bentegodi,Ivan Pezzuto,Match Report,
14,Sat,2017-11-25,20:45 (13:45),Cagliari,1–3,Inter,15974,Stadio Sant'Elia,Luca Pairetto,Match Report,
14,Sun,2017-11-26,15:00 (08:00),Genoa,1–1,Roma,20949,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,
14,Sun,2017-11-26,15:00 (08:00),Udinese,0–1,Napoli,19743,Dacia Arena,Marco Di Bello,Match Report,
14,Sun,2017-11-26,15:00 (08:00),Milan,0–0,Torino,53923,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
14,Sun,2017-11-26,18:00 (11:00),Lazio,1–1,Fiorentina,25000,Stadio Olimpico,Davide Massa,Match Report,
14,Sun,2017-11-26,20:45 (13:45),Juventus,3–0,Crotone,35585,Allianz Stadium,Claudio Gavillucci,Match Report,
14,Mon,2017-11-27,20:45 (13:45),Atalanta,1–0,Benevento,16687,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Match Report,
,,,,,,,,,,,
15,Fri,2017-12-01,18:30 (11:30),Roma,3–1,SPAL,35609,Stadio Olimpico,Rosario Abisso,Match Report,
15,Fri,2017-12-01,20:45 (13:45),Napoli,0–1,Juventus,55567,Stadio San Paolo,Daniele Orsato,Match Report,
15,Sat,2017-12-02,20:45 (13:45),Torino,1–1,Atalanta,14605,Stadio Olimpico di Torino,Paolo Tagliavento,Match Report,
15,Sun,2017-12-03,12:30 (05:30),Benevento,2–2,Milan,15710,Stadio Ciro Vigorito,Maurizio Mariani,Match Report,
15,Sun,2017-12-03,15:00 (08:00),Bologna,1–1,Cagliari,21940,Stadio Renato Dall'Ara,Federico La Penna,Match Report,
15,Sun,2017-12-03,15:00 (08:00),Fiorentina,3–0,Sassuolo,23398,Stadio Artemio Franchi,Luca Banti,Match Report,
15,Sun,2017-12-03,15:00 (08:00),Inter,5–0,Chievo,53403,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
15,Sun,2017-12-03,20:45 (13:45),Sampdoria,1–2,Lazio,18050,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,
15,Mon,2017-12-04,19:00 (12:00),Crotone,0–3,Udinese,8564,Stadio Ezio Scida,Davide Massa,Match Report,
15,Mon,2017-12-04,21:00 (14:00),Hellas Verona,0–1,Genoa,14136,Stadio Marc'Antonio Bentegodi,Antonio Damato,Match Report,
,,,,,,,,,,,
16,Sat,2017-12-09,18:00 (11:00),Cagliari,2–2,Sampdoria,13424,Stadio Sant'Elia,Fabrizio Pasqua,Match Report,
16,Sat,2017-12-09,20:45 (13:45),Juventus,0–0,Inter,41418,Allianz Stadium,Paolo Valeri,Match Report,
16,Sun,2017-12-10,12:30 (05:30),Chievo,0–0,Roma,10000,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Match Report,
16,Sun,2017-12-10,15:00 (08:00),SPAL,2–2,Hellas Verona,10851,Stadio Paolo Mazza,Gianluca Rocchi,Match Report,
16,Sun,2017-12-10,15:00 (08:00),Udinese,2–0,Benevento,11000,Dacia Arena,Gianluca Aureliano,Match Report,
16,Sun,2017-12-10,15:00 (08:00),Napoli,0–0,Fiorentina,45000,Stadio San Paolo,Michael Fabbri,Match Report,
16,Sun,2017-12-10,18:00 (11:00),Sassuolo,2–1,Crotone,6000,Stadio Città del Tricolore,Gianluca Manganiello,Match Report,
16,Sun,2017-12-10,20:45 (13:45),Milan,2–1,Bologna,39504,Stadio Giuseppe Meazza,Marco Guida,Match Report,
16,Mon,2017-12-11,21:00 (14:00),Lazio,1–3,Torino,20000,Stadio Olimpico,Piero Giacomelli,Match Report,
16,Tue,2017-12-12,19:00 (12:00),Genoa,1–2,Atalanta,18281,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
,,,,,,,,,,,
17,Sat,2017-12-16,15:00 (08:00),Inter,1–3,Udinese,52011,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
17,Sat,2017-12-16,18:00 (11:00),Torino,1–3,Napoli,19000,Stadio Olimpico di Torino,Paolo Mazzoleni,Match Report,
17,Sat,2017-12-16,20:45 (13:45),Roma,1–0,Cagliari,33133,Stadio Olimpico,Antonio Damato,Match Report,
17,Sun,2017-12-17,12:30 (05:30),Hellas Verona,3–0,Milan,19439,Stadio Marc'Antonio Bentegodi,Daniele Orsato,Match Report,
17,Sun,2017-12-17,15:00 (08:00),Sampdoria,0–1,Sassuolo,17563,Stadio Comunale Luigi Ferraris,Claudio Gavillucci,Match Report,
17,Sun,2017-12-17,15:00 (08:00),Bologna,0–3,Juventus,29270,Stadio Renato Dall'Ara,Luca Banti,Match Report,
17,Sun,2017-12-17,15:00 (08:00),Fiorentina,0–0,Genoa,21043,Stadio Artemio Franchi,Giampaolo Calvarese,Match Report,
17,Sun,2017-12-17,15:00 (08:00),Crotone,1–0,Chievo,8799,Stadio Ezio Scida,Luca Pairetto,Match Report,
17,Sun,2017-12-17,18:00 (11:00),Benevento,1–2,SPAL,10312,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
17,Sun,2017-12-17,20:45 (13:45),Atalanta,3–3,Lazio,16692,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,Match Report,
,,,,,,,,,,,
18,Fri,2017-12-22,18:00 (11:00),Chievo,2–3,Bologna,7000,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
18,Fri,2017-12-22,20:45 (13:45),Cagliari,0–1,Fiorentina,14297,Stadio Sant'Elia,Marco Di Bello,Match Report,
18,Sat,2017-12-23,12:30 (05:30),Lazio,4–0,Crotone,25000,Stadio Olimpico,Giampaolo Calvarese,Match Report,
18,Sat,2017-12-23,15:00 (08:00),SPAL,2–2,Torino,12522,Stadio Paolo Mazza,Paolo Valeri,Match Report,
18,Sat,2017-12-23,15:00 (08:00),Napoli,3–2,Sampdoria,45000,Stadio San Paolo,Davide Massa,Match Report,
18,Sat,2017-12-23,15:00 (08:00),Udinese,4–0,Hellas Verona,14000,Dacia Arena,Fabio Maresca,Match Report,
18,Sat,2017-12-23,15:00 (08:00),Genoa,1–0,Benevento,19465,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
18,Sat,2017-12-23,15:00 (08:00),Sassuolo,1–0,Inter,19000,Stadio Città del Tricolore,Daniele Doveri,Match Report,
18,Sat,2017-12-23,18:00 (11:00),Milan,0–2,Atalanta,45746,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
18,Sat,2017-12-23,20:45 (13:45),Juventus,1–0,Roma,41100,Allianz Stadium,Paolo Tagliavento,Match Report,
,,,,,,,,,,,
19,Fri,2017-12-29,20:45 (13:45),Crotone,0–1,Napoli,15000,Stadio Ezio Scida,Maurizio Mariani,Match Report,
19,Sat,2017-12-30,12:30 (05:30),Fiorentina,1–1,Milan,30213,Stadio Artemio Franchi,Luca Banti,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Benevento,1–0,Chievo,10200,Stadio Ciro Vigorito,Francesco Fourneau,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Bologna,1–2,Udinese,20954,Stadio Renato Dall'Ara,Claudio Gavillucci,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Sampdoria,2–0,SPAL,19583,Stadio Comunale Luigi Ferraris,Luca Pairetto,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Torino,0–0,Genoa,15000,Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Roma,1–1,Sassuolo,37157,Stadio Olimpico,Daniele Orsato,Match Report,
19,Sat,2017-12-30,15:00 (08:00),Atalanta,1–2,Cagliari,17755,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Match Report,
19,Sat,2017-12-30,18:00 (11:00),Inter,0–0,Lazio,61852,Stadio Giuseppe Meazza,Gianluca Rocchi,Match Report,
19,Sat,2017-12-30,20:45 (13:45),Hellas Verona,1–3,Juventus,29215,Stadio Marc'Antonio Bentegodi,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,
20,Fri,2018-01-05,18:00 (11:00),Chievo,1–1,Udinese,7142,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
20,Fri,2018-01-05,20:45 (13:45),Fiorentina,1–1,Inter,29428,Stadio Artemio Franchi,Paolo Valeri,Match Report,
20,Sat,2018-01-06,12:30 (05:30),Torino,3–0,Bologna,16042,Stadio Olimpico di Torino,Antonio Damato,Match Report,
20,Sat,2018-01-06,15:00 (08:00),Benevento,3–2,Sampdoria,11363,Stadio Ciro Vigorito,Gianluca Manganiello,Match Report,
20,Sat,2018-01-06,15:00 (08:00),SPAL,2–5,Lazio,12057,Stadio Paolo Mazza,Paolo Tagliavento,Match Report,
20,Sat,2018-01-06,15:00 (08:00),Napoli,2–0,Hellas Verona,39580,Stadio San Paolo,Rosario Abisso,Match Report,
20,Sat,2018-01-06,15:00 (08:00),Milan,1–0,Crotone,42533,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
20,Sat,2018-01-06,15:00 (08:00),Genoa,1–0,Sassuolo,18639,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,
20,Sat,2018-01-06,18:00 (11:00),Roma,1–2,Atalanta,32863,Stadio Olimpico,Marco Guida,Match Report,
