Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
9,Sun,2019-10-27,15:00 (09:00),SPAL,0.9,1–1,0.9,Napoli,14726,Stadio Paolo Mazza,Federico La Penna,Match Report,
9,Sun,2019-10-27,18:00 (12:00),Roma,1.6,2–1,0.6,Milan,44333,Stadio Olimpico,Daniele Orsato,Match Report,
9,Sun,2019-10-27,20:45 (14:45),Fiorentina,0.7,1–2,2.4,Lazio,33281,Stadio Artemio Franchi,Marco Guida,Match Report,
,,,,,,,,,,,,,
10,Tue,2019-10-29,19:00 (13:00),Parma,1.3,0–1,0.3,Hellas Verona,14638,Stadio Ennio Tardini,Gianluca Manganiello,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Brescia,1.9,1–2,1.0,Inter,16500,Stadio Mario Rigamonti,Michael Fabbri,Match Report,
10,Wed,2019-10-30,19:00 (13:00),Napoli,2.5,2–2,1.4,Atalanta,30061,Stadio San Paolo,Piero Giacomelli,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Lazio,2.2,4–0,0.7,Torino,25000,Stadio Olimpico,Daniele Orsato,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Udinese,0.9,0–4,3.3,Roma,23854,Dacia Arena,Massimiliano Irrati,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Sampdoria,2.0,1–1,1.3,Lecce,18685,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Cagliari,1.4,3–2,1.1,Bologna,16076,Sardegna Arena,Juan Sacchi,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Sassuolo,1.1,1–2,1.3,Fiorentina,11863,Mapei Stadium - Città del Tricolore,Maurizio Mariani,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Juventus,2.3,2–1,0.4,Genoa,38732,Allianz Stadium,Antonio Giua,Match Report,
10,Thu,2019-10-31,21:00 (15:00),Milan,1.4,1–0,0.5,SPAL,46475,Stadio Giuseppe Meazza,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
11,Sat,2019-11-02,15:00 (09:00),Roma,2.3,2–1,1.6,Napoli,34502,Stadio Olimpico,Gianluca Rocchi,Match Report,
11,Sat,2019-11-02,18:00 (12:00),Bologna,0.7,1–2,3.1,Inter,28498,Stadio Renato Dall'Ara,Federico La Penna,Match Report,
11,Sat,2019-11-02,20:45 (14:45),Torino,0.4,0–1,2.3,Juventus,26664,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
11,Sun,2019-11-03,12:30 (05:30),Atalanta,0.9,0–2,1.1,Cagliari,18617,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Match Report,
