Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,13,Sat,2018-11-24,15:00 (08:00),Livorno,0–0,Cittadella,4986,Stadio Armando Picchi,Niccolò Baroni,Match Report,
Regular Season,13,Sat,2018-11-24,18:00 (11:00),Benevento,2–1,Perugia,9770,Stadio Ciro Vigorito,Luca Massimi,Match Report,
Regular Season,13,Sun,2018-11-25,15:00 (08:00),Spezia,0–0,Foggia,6332,Stadio Alberto Picco,Lorenzo Maggioni,Match Report,
Regular Season,13,Sun,2018-11-25,15:00 (08:00),Pescara,1–1,Ascoli,9060,Stadio Adriatico-Giovanni Cornacchia,Francesco Fourneau,Match Report,
Regular Season,13,Sun,2018-11-25,21:00 (14:00),Lecce,2–0,Cremonese,8198,Stadio Comunale Via Del Mare,Marco Serra,Match Report,
Regular Season,13,Mon,2018-11-26,21:00 (14:00),Crotone,0–1,Cosenza,8665,Stadio Ezio Scida,Gianluca Aureliano,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2018-11-30,21:00 (14:00),Palermo,0–0,Benevento,7714,Stadio Renzo Barbera,Eugenio Abbattista,Match Report,
Regular Season,14,Sat,2018-12-01,15:00 (08:00),Cittadella,3–1,Salernitana,4153,Stadio Pier Cesare Tombolato,Antonio Giua,Match Report,
Regular Season,14,Sat,2018-12-01,15:00 (08:00),Cosenza,2–1,Padova,5787,Stadio San Vito,Valerio Marini,Match Report,
Regular Season,14,Sat,2018-12-01,15:00 (08:00),Cremonese,1–0,Crotone,6111,Stadio Giovanni Zin,Luigi Nasca,Match Report,
Regular Season,14,Sat,2018-12-01,18:00 (11:00),Ascoli,3–1,Spezia,5431,Stadio Cino e Lillo Del Duca,Lorenzo Illuzzi,Match Report,
Regular Season,14,Sun,2018-12-02,15:00 (08:00),Brescia,2–0,Livorno,6021,Stadio Mario Rigamonti,Daniele Minelli,Match Report,
Regular Season,14,Sun,2018-12-02,15:00 (08:00),Carpi,0–1,Lecce,3812,Stadio Sandro Cabassi,Francesco Guccini,Match Report,
Regular Season,14,Sun,2018-12-02,21:00 (14:00),Perugia,2–1,Pescara,7657,Stadio Renato Curi,Davide Ghersini,Match Report,
Regular Season,14,Mon,2018-12-03,21:00 (14:00),Foggia,1–1,Venezia,9583,Stadio Comunale Pino Zaccheria,Manuel Volpi,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,2018-12-07,21:00 (14:00),Pescara,2–0,Carpi,5516,Stadio Adriatico-Giovanni Cornacchia,Lorenzo Maggioni,Match Report,
Regular Season,15,Sat,2018-12-08,12:30 (05:30),Padova,1–3,Palermo,8215,Stadio Comunale Euganeo,Federico Dionisi,Match Report,
Regular Season,15,Sat,2018-12-08,15:00 (08:00),Lecce,0–0,Perugia,10300,Stadio Comunale Via Del Mare,Livio Marinelli,Match Report,
