Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,7,Fri,2015-09-25,20:30 (13:30),Köln,1–1,Ingolstadt 04,47800,RheinEnergieSTADION,Christian Dingert,Match Report,
Regular Season,7,Sat,2015-09-26,15:30 (08:30),Wolfsburg,1–1,Hannover 96,29236,Volkswagen Arena,Deniz Aytekin,Match Report,
Regular Season,7,Sat,2015-09-26,15:30 (08:30),Stuttgart,1–3,M'gladbach,51020,Mercedes-Benz Arena,Günter Perl,Match Report,
Regular Season,7,Sat,2015-09-26,15:30 (08:30),Werder Bremen,0–3,Bayer,40005,Weserstadion,Wolfgang Stark,Match Report,
Regular Season,7,Sat,2015-09-26,15:30 (08:30),Mainz 05,0–3,Bayern Munich,34000,Opel Arena,Bastian Dankert,Match Report,
Regular Season,7,Sat,2015-09-26,15:30 (08:30),Augsburg,1–3,Hoffenheim,27112,WWK Arena,Manuel Gräfe,Match Report,
Regular Season,7,Sat,2015-09-26,18:30 (11:30),Hamburger SV,0–1,Schalke 04,53192,Volksparkstadion,Jochen Drees,Match Report,
Regular Season,7,Sun,2015-09-27,15:30 (08:30),Eint Frankfurt,1–1,Hertha BSC,46000,Commerzbank-Arena,Benjamin Brand,Match Report,
Regular Season,7,Sun,2015-09-27,17:30 (10:30),Dortmund,2–2,Darmstadt 98,81359,Signal Iduna Park,Robert Hartmann,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2015-10-02,20:30 (13:30),Darmstadt 98,2–3,Mainz 05,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Florian Meyer,Match Report,
Regular Season,8,Sat,2015-10-03,15:30 (08:30),M'gladbach,2–0,Wolfsburg,52581,Stadion im Borussia-Park,Felix Zwayer,Match Report,
Regular Season,8,Sat,2015-10-03,15:30 (08:30),Hannover 96,1–0,Werder Bremen,49000,HDI-Arena,Peter Sippel,Match Report,
Regular Season,8,Sat,2015-10-03,15:30 (08:30),Hertha BSC,3–0,Hamburger SV,65427,Olympiastadion Berlin,Felix Brych,Match Report,
Regular Season,8,Sat,2015-10-03,15:30 (08:30),Ingolstadt 04,2–0,Eint Frankfurt,15000,Audi-Sportpark,Manuel Gräfe,Match Report,
Regular Season,8,Sat,2015-10-03,15:30 (08:30),Hoffenheim,2–2,Stuttgart,30150,PreZero Arena,Deniz Aytekin,Match Report,
Regular Season,8,Sun,2015-10-04,15:30 (08:30),Schalke 04,0–3,Köln,61723,Veltins-Arena,Knut Kircher,Match Report,
Regular Season,8,Sun,2015-10-04,17:30 (10:30),Bayern Munich,5–1,Dortmund,75000,Allianz Arena,Marco Fritz,Match Report,
Regular Season,8,Sun,2015-10-04,17:30 (10:30),Bayer,1–1,Augsburg,28475,BayArena,Tobias Stieler,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2015-10-16,20:30 (13:30),Mainz 05,0–2,Dortmund,34000,Opel Arena,Tobias Stieler,Match Report,
Regular Season,9,Sat,2015-10-17,15:30 (08:30),Hamburger SV,0–0,Bayer,54957,Volksparkstadion,Tobias Welz,Match Report,
Regular Season,9,Sat,2015-10-17,15:30 (08:30),Schalke 04,2–1,Hertha BSC,61336,Veltins-Arena,Marco Fritz,Match Report,
Regular Season,9,Sat,2015-10-17,15:30 (08:30),Augsburg,0–2,Darmstadt 98,30009,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,9,Sat,2015-10-17,15:30 (08:30),Wolfsburg,4–2,Hoffenheim,28148,Volkswagen Arena,Felix Brych,Match Report,
Regular Season,9,Sat,2015-10-17,15:30 (08:30),Werder Bremen,0–1,Bayern Munich,42100,Weserstadion,Christian Dingert,Match Report,
Regular Season,9,Sat,2015-10-17,18:30 (11:30),Eint Frankfurt,1–5,M'gladbach,50700,Commerzbank-Arena,Florian Meyer,Match Report,
Regular Season,9,Sun,2015-10-18,15:30 (08:30),Köln,0–1,Hannover 96,48700,RheinEnergieSTADION,Bastian Dankert,Match Report,
Regular Season,9,Sun,2015-10-18,17:30 (10:30),Stuttgart,1–0,Ingolstadt 04,45700,Mercedes-Benz Arena,Guido Winkmann,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2015-10-23,20:30 (13:30),Hoffenheim,0–1,Hamburger SV,30000,PreZero Arena,Daniel Siebert,Match Report,
Regular Season,10,Sat,2015-10-24,15:30 (08:30),Bayer,4–3,Stuttgart,30210,BayArena,Felix Brych,Match Report,
Regular Season,10,Sat,2015-10-24,15:30 (08:30),Bayern Munich,4–0,Köln,75000,Allianz Arena,Florian Meyer,Match Report,
Regular Season,10,Sat,2015-10-24,15:30 (08:30),Mainz 05,1–3,Werder Bremen,30837,Opel Arena,Robert Hartmann,Match Report,
Regular Season,10,Sat,2015-10-24,15:30 (08:30),Hannover 96,1–2,Eint Frankfurt,44200,HDI-Arena,Felix Zwayer,Match Report,
Regular Season,10,Sat,2015-10-24,15:30 (08:30),Darmstadt 98,0–1,Wolfsburg,15800,Jonathan-Heimes-Stadion am Böllenfalltor,Günter Perl,Match Report,
Regular Season,10,Sat,2015-10-24,18:30 (11:30),Ingolstadt 04,0–1,Hertha BSC,15000,Audi-Sportpark,Sascha Stegemann,Match Report,
Regular Season,10,Sun,2015-10-25,15:30 (09:30),Dortmund,5–1,Augsburg,81359,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,10,Sun,2015-10-25,17:30 (11:30),M'gladbach,3–1,Schalke 04,54010,Stadion im Borussia-Park,Wolfgang Stark,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2015-10-30,20:30 (14:30),Eint Frankfurt,0–0,Bayern Munich,51500,Commerzbank-Arena,Daniel Siebert,Match Report,
Regular Season,11,Sat,2015-10-31,15:30 (09:30),Augsburg,3–3,Mainz 05,27200,WWK Arena,Marco Fritz,Match Report,
Regular Season,11,Sat,2015-10-31,15:30 (09:30),Köln,0–0,Hoffenheim,48000,RheinEnergieSTADION,Günter Perl,Match Report,
Regular Season,11,Sat,2015-10-31,15:30 (09:30),Schalke 04,1–1,Ingolstadt 04,60144,Veltins-Arena,Florian Meyer,Match Report,
Regular Season,11,Sat,2015-10-31,15:30 (09:30),Hertha BSC,1–4,M'gladbach,58566,Olympiastadion Berlin,Peter Sippel,Match Report,
Regular Season,11,Sat,2015-10-31,15:30 (09:30),Werder Bremen,1–3,Dortmund,42100,Weserstadion,Tobias Welz,Match Report,
Regular Season,11,Sat,2015-10-31,18:30 (12:30),Wolfsburg,2–1,Bayer,28766,Volkswagen Arena,Manuel Gräfe,Match Report,
Regular Season,11,Sun,2015-11-01,15:30 (08:30),Stuttgart,2–0,Darmstadt 98,55200,Mercedes-Benz Arena,Robert Hartmann,Match Report,
Regular Season,11,Sun,2015-11-01,17:30 (10:30),Hamburger SV,1–2,Hannover 96,54607,Volksparkstadion,Sascha Stegemann,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2015-11-06,20:30 (13:30),Hannover 96,1–3,Hertha BSC,40200,HDI-Arena,Christian Dingert,Match Report,
Regular Season,12,Sat,2015-11-07,15:30 (08:30),Hoffenheim,0–0,Eint Frankfurt,30150,PreZero Arena,Knut Kircher,Match Report,
Regular Season,12,Sat,2015-11-07,15:30 (08:30),Mainz 05,2–0,Wolfsburg,26331,Opel Arena,Daniel Siebert,Match Report,
Regular Season,12,Sat,2015-11-07,15:30 (08:30),Bayer,1–2,Köln,30210,BayArena,Felix Zwayer,Match Report,
