Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2019-11-09,18:00 (11:00),Empoli,1–2,Pescara,5156,Stadio Carlo Castellani,Gianluca Aureliano,Match Report,
12,Sun,2019-11-10,15:00 (08:00),Trapani,2–2,Cosenza,4004,Stadio Polisportivo Provinciale,Alessandro Prontera,Match Report,
12,Sun,2019-11-10,15:00 (08:00),Cremonese,1–0,Salernitana,7846,Stadio Giovanni Zin,Livio Marinelli,Match Report,
12,Sun,2019-11-10,21:00 (14:00),Frosinone,2–0,Chievo,10725,Stadio Benito Stirpe,Juan Sacchi,Match Report,
,,,,,,,,,,,
13,Fri,2019-11-22,21:00 (14:00),Pescara,1–1,Cremonese,6111,Stadio Adriatico-Giovanni Cornacchia,Riccardo Ros,Match Report,
13,Sat,2019-11-23,15:00 (08:00),Juve Stabia,2–0,Salernitana,4348,Stadio Comunale Romeo Menti,Ivan Pezzuto,Match Report,
13,Sat,2019-11-23,15:00 (08:00),Livorno,1–2,Trapani,4215,Stadio Armando Picchi,Eugenio Abbattista,Match Report,
13,Sat,2019-11-23,15:00 (08:00),Pordenone,3–0,Perugia,3182,Dacia Arena,Ivan Robilotta,Match Report,
13,Sat,2019-11-23,15:00 (08:00),Benevento,2–0,Crotone,10302,Stadio Ciro Vigorito,Francesco Fourneau,Match Report,
13,Sat,2019-11-23,18:00 (11:00),Empoli,1–1,Venezia,4671,Stadio Carlo Castellani,Federico Dionisi,Match Report,
13,Sun,2019-11-24,15:00 (08:00),Ascoli,3–2,Cosenza,6059,Stadio Cino e Lillo Del Duca,Luca Massimi,Match Report,
13,Sun,2019-11-24,15:00 (08:00),Cittadella,1–1,AC Pisa,4567,Stadio Pier Cesare Tombolato,Daniel Amabile,Match Report,
13,Sun,2019-11-24,21:00 (14:00),Spezia,2–0,Frosinone,4681,Stadio Alberto Picco,Antonio Rapuano,Match Report,
13,Mon,2019-11-25,21:00 (14:00),Chievo,2–1,Virtus Entella,4602,Stadio Marc'Antonio Bentegodi,Daniele Minelli,Match Report,
,,,,,,,,,,,
14,Fri,2019-11-29,21:00 (14:00),Cosenza,1–1,Spezia,3735,Stadio San Vito,Lorenzo Maggioni,Match Report,
14,Sat,2019-11-30,15:00 (08:00),Venezia,0–2,Benevento,3660,Stadio Pierluigi Penzo,Marco Serra,Match Report,
14,Sat,2019-11-30,15:00 (08:00),Crotone,1–1,Cittadella,5805,Stadio Ezio Scida,Giovanni Ayroldi,Match Report,
14,Sat,2019-11-30,15:00 (08:00),Frosinone,4–0,Empoli,10197,Stadio Benito Stirpe,Valerio Marini,Match Report,
14,Sat,2019-11-30,15:00 (08:00),Cremonese,0–0,Livorno,5500,Stadio Giovanni Zin,Alessandro Prontera,Match Report,
14,Sat,2019-11-30,18:00 (11:00),Salernitana,1–1,Ascoli,5787,Stadio Arechi,Niccolò Baroni,Match Report,
14,Sun,2019-12-01,15:00 (08:00),Trapani,1–0,Chievo,4618,Stadio Polisportivo Provinciale,Simone Sozza,Match Report,
14,Sun,2019-12-01,15:00 (08:00),Virtus Entella,2–0,Juve Stabia,1000,Stadio Comunale Chiavari,Livio Marinelli,Match Report,
14,Sun,2019-12-01,21:00 (14:00),Perugia,3–1,Pescara,7422,Stadio Renato Curi,Davide Ghersini,Match Report,
14,Mon,2019-12-02,21:00 (14:00),AC Pisa,2–0,Pordenone,7397,Arena Garibaldi - Stadio Romeo Anconetan...,Antonio Di Martino,Match Report,
,,,,,,,,,,,
15,Fri,2019-12-06,21:00 (14:00),Benevento,5–0,Trapani,9155,Stadio Ciro Vigorito,Daniele Minelli,Match Report,
15,Sat,2019-12-07,15:00 (08:00),Empoli,2–1,Ascoli,6013,Stadio Carlo Castellani,Lorenzo Illuzzi,Match Report,
15,Sat,2019-12-07,15:00 (08:00),Pescara,2–2,Venezia,5438,Stadio Adriatico-Giovanni Cornacchia,Ivan Robilotta,Match Report,
15,Sat,2019-12-07,15:00 (08:00),Spezia,2–0,Livorno,5468,Stadio Alberto Picco,Juan Sacchi,Match Report,
15,Sat,2019-12-07,15:00 (08:00),Cittadella,4–3,Salernitana,4038,Stadio Pier Cesare Tombolato,Antonio Rapuano,Match Report,
15,Sat,2019-12-07,18:00 (11:00),Chievo,1–0,Cremonese,4500,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
15,Sun,2019-12-08,15:00 (08:00),Juve Stabia,0–2,Frosinone,3401,Stadio Comunale Romeo Menti,Eugenio Abbattista,Match Report,
15,Sun,2019-12-08,15:00 (08:00),AC Pisa,0–2,Virtus Entella,7457,Arena Garibaldi - Stadio Romeo Anconetan...,Luca Massimi,Match Report,
15,Sun,2019-12-08,21:00 (14:00),Pordenone,1–0,Crotone,2622,Dacia Arena,Giacomo Camplone,Match Report,
15,Mon,2019-12-09,21:00 (14:00),Perugia,2–2,Cosenza,7410,Stadio Renato Curi,Francesco Fourneau,Match Report,
,,,,,,,,,,,
16,Fri,2019-12-13,21:00 (14:00),Chievo,2–3,Juve Stabia,3500,Stadio Marc'Antonio Bentegodi,Antonio Di Martino,Match Report,
16,Sat,2019-12-14,15:00 (08:00),Ascoli,1–0,Cittadella,5768,Stadio Cino e Lillo Del Duca,Valerio Marini,Match Report,
16,Sat,2019-12-14,15:00 (08:00),Venezia,0–0,Spezia,2965,Stadio Pierluigi Penzo,Ivan Pezzuto,Match Report,
16,Sat,2019-12-14,15:00 (08:00),Frosinone,2–0,Pescara,11127,Stadio Benito Stirpe,Marco Serra,Match Report,
16,Sat,2019-12-14,15:00 (08:00),Virtus Entella,2–0,Empoli,1521,Stadio Comunale Chiavari,Daniel Amabile,Match Report,
16,Sat,2019-12-14,18:00 (11:00),Livorno,0–2,Benevento,4335,Stadio Armando Picchi,Riccardo Ros,Match Report,
16,Sun,2019-12-15,15:00 (08:00),Cremonese,2–1,Perugia,5655,Stadio Giovanni Zin,Niccolò Baroni,Match Report,
16,Sun,2019-12-15,15:00 (08:00),Cosenza,1–2,Pordenone,4604,Stadio San Vito,Davide Ghersini,Match Report,
16,Sun,2019-12-15,21:00 (14:00),Salernitana,3–2,Crotone,5019,Stadio Arechi,Gianluca Aureliano,Match Report,
16,Mon,2019-12-16,21:00 (14:00),Trapani,1–3,AC Pisa,4409,Stadio Polisportivo Provinciale,Federico Dionisi,Match Report,
,,,,,,,,,,,
17,Sat,2019-12-21,15:00 (08:00),Crotone,2–1,Livorno,5645,Stadio Ezio Scida,Daniele Minelli,Match Report,
17,Sat,2019-12-21,15:00 (08:00),Perugia,2–0,Virtus Entella,6483,Stadio Renato Curi,Giacomo Camplone,Match Report,
17,Sat,2019-12-21,15:00 (08:00),Empoli,1–1,Salernitana,5394,Stadio Carlo Castellani,Manuel Volpi,Match Report,
17,Sat,2019-12-21,15:00 (08:00),Juve Stabia,2–0,Venezia,2846,Stadio Comunale Romeo Menti,Lorenzo Maggioni,Match Report,
17,Sat,2019-12-21,15:00 (08:00),Cittadella,1–1,Chievo,4830,Stadio Pier Cesare Tombolato,Lorenzo Illuzzi,Match Report,
17,Sat,2019-12-21,18:00 (11:00),Benevento,1–0,Frosinone,10538,Stadio Ciro Vigorito,Livio Marinelli,Match Report,
17,Sun,2019-12-22,15:00 (08:00),AC Pisa,1–3,Cosenza,8060,Arena Garibaldi - Stadio Romeo Anconetan...,Alessandro Prontera,Match Report,
17,Sun,2019-12-22,15:00 (08:00),Pescara,1–1,Trapani,5862,Stadio Adriatico-Giovanni Cornacchia,Giovanni Ayroldi,Match Report,
17,Sun,2019-12-22,21:00 (14:00),Pordenone,2–1,Ascoli,3951,Dacia Arena,Simone Sozza,Match Report,
,,,,,,,,,,,
18,Thu,2019-12-26,12:30 (05:30),Cosenza,1–0,Empoli,8044,Stadio San Vito,Ivan Pezzuto,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Cremonese,1–1,Juve Stabia,6334,Stadio Giovanni Zin,Ivan Robilotta,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Salernitana,4–0,Pordenone,7087,Stadio Arechi,Federico Dionisi,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Trapani,2–2,Perugia,4785,Stadio Polisportivo Provinciale,Valerio Marini,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Venezia,1–2,Cittadella,3734,Stadio Pierluigi Penzo,Riccardo Ros,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Chievo,1–2,Benevento,3500,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Livorno,0–2,Pescara,4201,Stadio Armando Picchi,Daniel Amabile,Match Report,
18,Thu,2019-12-26,15:00 (08:00),Frosinone,1–2,Crotone,12215,Stadio Benito Stirpe,Davide Ghersini,Match Report,
18,Thu,2019-12-26,18:00 (11:00),Ascoli,1–0,AC Pisa,8152,Stadio Cino e Lillo Del Duca,Antonio Rapuano,Match Report,
18,Thu,2019-12-26,21:00 (14:00),Virtus Entella,0–0,Spezia,3813,Stadio Comunale Chiavari,Eugenio Abbattista,Match Report,
,,,,,,,,,,,
19,Sun,2019-12-29,12:30 (05:30),Pescara,0–0,Chievo,5453,Stadio Adriatico-Giovanni Cornacchia,Niccolò Baroni,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Pordenone,1–0,Cremonese,6856,Dacia Arena,Marco Serra,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Juve Stabia,1–0,Cosenza,4454,Stadio Comunale Romeo Menti,Gianluca Aureliano,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Perugia,0–1,Venezia,7968,Stadio Renato Curi,Antonio Di Martino,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Cittadella,1–3,Virtus Entella,4346,Stadio Pier Cesare Tombolato,Alessandro Prontera,Match Report,
19,Sun,2019-12-29,15:00 (08:00),AC Pisa,0–0,Frosinone,8326,Arena Garibaldi - Stadio Romeo Anconetan...,Lorenzo Illuzzi,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Crotone,3–0,Trapani,6141,Stadio Ezio Scida,Lorenzo Maggioni,Match Report,
19,Sun,2019-12-29,15:00 (08:00),Spezia,2–1,Salernitana,5421,Stadio Alberto Picco,Luca Massimi,Match Report,
19,Sun,2019-12-29,18:00 (11:00),Benevento,4–0,Ascoli,11668,Stadio Ciro Vigorito,Giovanni Ayroldi,Match Report,
19,Sun,2019-12-29,21:00 (14:00),Empoli,1–1,Livorno,5689,Stadio Carlo Castellani,Simone Sozza,Match Report,
,,,,,,,,,,,
20,Fri,2020-01-17,21:00 (14:00),Frosinone,2–2,Pordenone,10811,Stadio Benito Stirpe,Ivan Pezzuto,Match Report,
20,Sat,2020-01-18,15:00 (08:00),Livorno,4–4,Virtus Entella,4197,Stadio Armando Picchi,Antonio Rapuano,Match Report,
20,Sat,2020-01-18,15:00 (08:00),Cremonese,0–0,Venezia,5586,Stadio Giovanni Zin,Federico Dionisi,Match Report,
20,Sat,2020-01-18,15:00 (08:00),Juve Stabia,1–0,Empoli,3144,Stadio Comunale Romeo Menti,Francesco Fourneau,Match Report,
