Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
20,Sun,2020-02-02,15:30 (08:30),Köln,,,,Freiburg,,RheinEnergieSTADION,,,
20,Sun,2020-02-02,18:00 (11:00),Paderborn 07,,,,Wolfsburg,,Benteler-Arena,,,
,,,,,,,,,,,,,
21,Fri,2020-02-07,20:30 (13:30),Eint Frankfurt,,,,Augsburg,,Commerzbank-Arena,,,
21,Sat,2020-02-08,15:30 (08:30),Werder Bremen,,,,Union Berlin,,Weserstadion,,,
21,Sat,2020-02-08,15:30 (08:30),Schalke 04,,,,Paderborn 07,,Veltins-Arena,,,
21,Sat,2020-02-08,15:30 (08:30),Hertha BSC,,,,Mainz 05,,Olympiastadion Berlin,,,
21,Sat,2020-02-08,15:30 (08:30),Freiburg,,,,Hoffenheim,,Schwarzwald-Stadion,,,
21,Sat,2020-02-08,15:30 (08:30),Wolfsburg,,,,Düsseldorf,,Volkswagen Arena,,,
21,Sat,2020-02-08,18:30 (11:30),Bayer,,,,Dortmund,,BayArena,,,
21,Sun,2020-02-09,15:30 (08:30),M'gladbach,,,,Köln,,Stadion im Borussia-Park,,,
21,Sun,2020-02-09,18:00 (11:00),Bayern Munich,,,,RB Leipzig,,Allianz Arena,,,
,,,,,,,,,,,,,
